title,author,length
Master Class 4,"Virgil Knightley,Annabelle Hawthorne",Length: 11 hrs and 12 mins
Saintess Summons Skeletons 2,Mornn,Length: 22 hrs and 53 mins
Sons of Fenris,Lee Lightner,Length: 10 hrs and 52 mins
Kraken Mage,Robin Hutson,Length: 10 hrs and 41 mins
Mark of the Fool 6,J.M. Clarke,Length: 23 hrs and 3 mins
A Many-Threaded Tapestry,Olan Thorensen,Length: 24 hrs and 11 mins
Task Force Hammer,Craig Alanson,Length: 21 hrs and 40 mins
Radley's Christmas for Horny Monsters,Annabelle Hawthorne,Length: 25 hrs and 44 mins
Lelith Hesperax: Queen of Knives,Mike Brooks,Length: 5 hrs and 59 mins
The Dragon's Prophecy,Jonathan Cahn,Length: Not Yet Known
Rapid Weight Loss Hypnosis for Women: 2 in 1 Bundle,Alisha Kapani,Length: 16 hrs and 6 mins
Herbal Tincture Mastery,Stephen H Sharp,Length: 4 hrs and 56 mins
Drumindor,Michael J. Sullivan,Length: 12 hrs and 45 mins
"My Secret Portal to a Fantasy World, Book 3",D. Levesque,Length: 10 hrs and 4 mins
Mage Assassins & Other Misfits,"Annette Marie,Rob Jacobsen",Length: 7 hrs and 40 mins
Sanctuary,Ilona Andrews,Length: 4 hrs and 27 mins
Dungeon Core Guardians Omnibus: Books 1-3,"Jack Spry,Marcus Sloss",Length: 36 hrs and 42 mins
House of Sky and Breath (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 12 hrs
Practical Adept,Terry Mancour,Length: 32 hrs and 57 mins
Shameless,Brian Tyler Cohen,Length: 4 hrs and 38 mins
Imminent,Luis Elizondo,Length: 10 hrs
The Mysterious Disappearance of Mr. Darcy,Kelly Miller,Length: 5 hrs and 39 mins
Nothing Is Wasted,Davey Blackburn,Length: 10 hrs and 13 mins
The Shadow Rising,Robert Jordan,Length: 40 hrs and 31 mins
The Tenth Muse,A. F. Kay,Length: 12 hrs and 5 mins
Baskets and Beignets,Jana DeLeon,Length: 9 hrs and 39 mins
Our Little Secret,Q.B. Tyler,Length: 9 hrs and 44 mins
Protocols,Andrew D. Huberman Ph.D.,Length: 10 hrs
A Lady of Conscience,Mimi Matthews,Length: 5 hrs
Access Super Consciousness,RJ Spina,Length: 7 hrs and 45 mins
Harmony,Alan Moria,Length: 14 hrs and 37 mins
Cut to the Chase,Jasmine Webb,Length: 6 hrs and 2 mins
Armed with Good Intentions,Wallo267,Length: 6 hrs
Dungeon Life 3: An Isekai LitRPG,Khenal,Length: 20 hrs and 41 mins
Beautiful Chaos,Jessica Urlichs,Length: Not Yet Known
The Empress of Beasts,pirateaba,Length: 30 hrs and 29 mins
Never Never,"Colleen Hoover,Tarryn Fisher",Length: 9 hrs and 48 mins
Shepherds for Sale,Megan Basham,Length: 11 hrs and 22 mins
"MeatEater's Campfire Stories: Discoveries, Revelations & Near Misses","Steven Rinella,Clay Newcomb,Brent Reaves,Buck Bowden,John Hayes,Mike Kunz,Bob Service,Chris Williams,Jeff Jones,Jim Swenson,Mike Carey,Chad Martin,Chad Johnston,Ryan Murray",Length: 6 hrs
Ghost in the Deep,"J.N. Chaney,Terry Maggert",Length: 9 hrs and 51 mins
All in the Family,Fred C. Trump III,Length: 10 hrs and 18 mins
Resistance,Sean Oswald,Length: 16 hrs and 40 mins
Onyx Storm,Rebecca Yarros,Length: 14 hrs and 15 mins
"Heretical Fishing 3: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",Haylock Jobson,Length: 17 hrs and 46 mins
From The Wizarding Archive,"J.K. Rowling,Evanna Lynch - foreword",Length: Not Yet Known
The Primal Hunter 9: A LitRPG Adventure,Zogarth,Length: 20 hrs and 23 mins
Words of a Goat Princess,Jessie Reyez,Length: 1 hr and 7 mins
Will Leave the Galaxy for Good,Yahtzee Croshaw,Length: 9 hrs and 50 mins
Scythe & Sparrow,Brynne Weaver,Length: Not Yet Known
"Raiders, Rulers, and Traders",David Chaffetz,Length: 13 hrs and 56 mins
Sunrise on the Reaping,Suzanne Collins,Length: Not Yet Known
Wind and Truth,Brandon Sanderson,Length: 55 hrs
Progressively Worse,Joe Concha,Length: 8 hrs and 2 mins
On the Edge,Nate Silver,Length: 13 hrs
Hard to Kill,"James Patterson,Mike Lupica",Length: 8 hrs and 55 mins
Play Along,Liz Tomforde,Length: 12 hrs and 32 mins
Hell Divers XII: Heroes,Nicholas Sansbury Smith,Length: 13 hrs and 17 mins
Savage Awakening 2,Adastra339,Length: 21 hrs and 52 mins
We Who Wrestle with God,Jordan B. Peterson,Length: 13 hrs
I Haven’t Been Entirely Honest with You,Miranda Hart,Length: Not Yet Known
Mercer,Grey Huffington,Length: 9 hrs and 36 mins
Faker,Kiki Clark,Length: 2 hrs and 45 mins
The Art of Power,Nancy Pelosi,Length: 11 hrs
Tongue-Tied,Christina Lee,Length: 6 hrs and 35 mins
Beware of Chicken 4: A Xianxia Cultivation Novel,Casualfarmer,Length: 30 hrs and 8 mins
The Talented Daughters of Longbourn,Laraba Kendig,Length: 11 hrs and 8 mins
Tom Clancy Defense Protocol,"Brian Andrews,Jeffrey Wilson",Length: 15 hrs
"College Girl, Missing",Shawn Cohen,Length: 4 hrs and 57 mins
North of Denton,C.J. Petit,Length: 9 hrs and 20 mins
Men Have Called Her Crazy,Anna Marie Tendler,Length: 8 hrs and 39 mins
I Like You Like That,Kayla Grosse,Length: 9 hrs and 4 mins
The Book of Enoch,Enoch,Length: 4 hrs and 27 mins
Kulti,Mariana Zapata,Length: 17 hrs and 18 mins
Collapse,Sean Oswald,Length: 12 hrs and 51 mins
Fall with Me,Becka Mack,Length: 15 hrs and 45 mins
Voracious,James T. Callum,Length: 16 hrs and 34 mins
We Hunt Monsters 8,Aaron Oster,Length: 13 hrs and 22 mins
Gathering Mist,Margaret Mizushima,Length: 8 hrs and 20 mins
The Mirror,Nora Roberts,Length: 14 hrs and 24 mins
Lovely Bad Things,Trisha Wolfe,Length: 7 hrs and 17 mins
Holistic Herbal Remedies and Natural Medicines for Common Ailments,Jasmine B. Green,Length: 5 hrs and 53 mins
Something Borrowed,Lily Morton,Length: 8 hrs and 18 mins
Born of Blood and Ash,Jennifer L. Armentrout,Length: 37 hrs and 1 min
The Mercy of Gods,James S.A. Corey,Length: 14 hrs and 54 mins
Targeted: Beirut,"Jack Carr,James M. Scott",Length: 13 hrs
Clean Finish,Lily Mayne,Length: 13 hrs and 35 mins
Assassin,Alexander Olson,Length: 16 hrs and 23 mins
Worthy of Fate,A.N. Caudle,Length: 18 hrs and 16 mins
Meant for Love,Natasha Madison,Length: 8 hrs and 19 mins
The Wedding People,Alison Espach,Length: 11 hrs and 37 mins
Frames of Mind,Howard E. Gardner,Length: 19 hrs and 30 mins
Paragon Exordium,Mikel Melwasul,Length: 24 hrs and 9 mins
AI in Business,Sebastian Forbes,Length: 3 hrs and 30 mins
The Songbird and the Heart of Stone,Carissa Broadbent,Length: 15 hrs and 33 mins
So This Is War,Meghan Quinn,Length: 13 hrs and 45 mins
Nexus,Yuval Noah Harari,Length: 14 hrs
Tom Clancy Shadow State,M.P. Woodward,Length: 10 hrs and 57 mins
It Begins with You,Jillian Turecki,Length: 12 hrs
Impact Winter Season 3,Travis Beacham,Length: 7 hrs and 33 mins
Feral Outbreak: Oblivion,Sean Liscom,Length: 10 hrs and 7 mins
Penetration,Ingo Swann,Length: 6 hrs and 22 mins
To Die For,David Baldacci,Length: 12 hrs
The Briar Club,Kate Quinn,Length: 15 hrs and 3 mins
Now or Never,Janet Evanovich,Length: 8 hrs
Dino Tribes 2,Marcus Sloss,Length: 10 hrs and 2 mins
Angel of Vengeance,"Douglas Preston,Lincoln Child",Length: 10 hrs and 55 mins
Love After Midnight,Sister Souljah,Length: 13 hrs
Law of Success,Paramahansa Yogananda,Length: 36 mins
The Laws of Human Nature,Robert Greene,Length: 28 hrs and 26 mins
The Waiting,Michael Connelly,Length: 12 hrs
All the Skills 4: A Deck-Building LitRPG,Honour Rae,Length: 14 hrs and 26 mins
"Overlord, Vol. 14","Kugane Maruyama,so-bin - illustrator,Andrew Cunningham - translator",Length: 10 hrs
Crown of Midnight,Sarah J. Maas,Length: 12 hrs and 43 mins
Capture or Kill,"Vince Flynn,Don Bentley",Length: 12 hrs
The Pucking Wrong Man,C.R. Jane,Length: 10 hrs
If You Want Me,Helena Hunting,Length: 13 hrs and 24 mins
Mind over Markets (Updated Edition),"James F. Dalton,Eric T. Jones,Robert B. Dalton",Length: 8 hrs and 41 mins
Aftermath 1,Bobby Akart,Length: 7 hrs and 28 mins
The Tibetan Book of Living and Dying,Sogyal Rinpoche,Length: 20 hrs and 43 mins
In Too Deep,"Lee Child,Andrew Child",Length: 10 hrs
Dark Hope,Christine Feehan,Length: 13 hrs and 30 mins
The Shadow of Dread,T.C. Edge,Length: 40 hrs and 46 mins
Meditations,Marcus Aurelius,Length: 3 hrs and 51 mins
Into the Uncertain,"James Rosone,Miranda Watson",Length: 13 hrs and 42 mins
The Grey Wolf,Louise Penny,Length: 12 hrs and 51 mins
Revenge for Now,Bob Howard,Length: 13 hrs
He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 56 mins
Under Your Scars,Ariel N. Anderson,Length: 19 hrs and 2 mins
A Storm of Swords,George R.R. Martin,Length: 47 hrs and 34 mins
Iron Flame (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 9 hrs and 27 mins
Night Side of the River,Jeanette Winterson,Length: 9 hrs and 2 mins
A Clash of Kings,George R.R. Martin,Length: 37 hrs and 12 mins
What Have You Done?,Shari Lapena,Length: 8 hrs and 49 mins
Challenger,Seth Ring,Length: 14 hrs
Frisco,Tijan,Length: 11 hrs and 36 mins
Curated True Crime,"Jamie Malton,Aiden Galway",Length: 17 hrs and 36 mins
"2 Lies, 2 Thrones",Eric Ugland,Length: 9 hrs and 13 mins
Toll of Honor,David Weber,Length: 17 hrs and 45 mins
The Last Mrs. Parrish,Liv Constantine,Length: 12 hrs
The History of the Ancient World,Susan Wise Bauer,Length: 26 hrs and 20 mins
The God of the Woods,Liz Moore,Length: 14 hrs and 35 mins
The Well of Ascension,Brandon Sanderson,Length: 28 hrs and 56 mins
Presumed Dead,Colleen Helme,Length: 11 hrs and 55 mins
Fire & Blood (HBO Tie-in Edition),George R. R. Martin,Length: 26 hrs and 24 mins
Lightning Strike,"J.N. Chaney,Terry Mixon",Length: 8 hrs and 31 mins
The Lumberjack,Susan Stoker,Length: 10 hrs and 10 mins
The Body in the Backyard,Lucy Score,Length: 11 hrs and 56 mins
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Length: 24 hrs and 21 mins
Eruption,"Michael Crichton,James Patterson",Length: 10 hrs and 32 mins
The Dream Dancers: Akashic Chronicles,Steven P Aitchison,Length: 3 hrs and 40 mins
All the Colors of the Dark,Chris Whitaker,Length: 14 hrs and 37 mins
The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,Length: 33 hrs and 45 mins
A Court of Frost and Starlight,Sarah J. Maas,Length: 6 hrs and 23 mins
He Who Fights with Monsters 11: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 26 hrs and 19 mins
A Lesbian's Guide to Women,Erica Lee,Length: 7 hrs and 40 mins
Under the Breaking Sky: The Complete Apocalyptic Horror Series,Nick Clausen,Length: 59 hrs and 36 mins
Defiance of the Fall 13,"TheFirstDefier,JF Brink",Length: 24 hrs and 35 mins
Prince of Poison,Alice Winters,Length: 9 hrs and 49 mins
Passions in Death: An Eve Dallas Novel,J. D. Robb,Length: 13 hrs and 54 mins
Tsalmoth,Steven Brust,Length: 9 hrs and 49 mins
Eruption,"Michael Crichton,James Patterson",Length: 10 hrs and 32 mins
The Dream Dancers: Akashic Chronicles,Steven P Aitchison,Length: 3 hrs and 40 mins
All the Colors of the Dark,Chris Whitaker,Length: 14 hrs and 37 mins
The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,Length: 33 hrs and 45 mins
A Court of Frost and Starlight,Sarah J. Maas,Length: 6 hrs and 23 mins
He Who Fights with Monsters 11: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 26 hrs and 19 mins
A Lesbian's Guide to Women,Erica Lee,Length: 7 hrs and 40 mins
Under the Breaking Sky: The Complete Apocalyptic Horror Series,Nick Clausen,Length: 59 hrs and 36 mins
Defiance of the Fall 13,"TheFirstDefier,JF Brink",Length: 24 hrs and 35 mins
Prince of Poison,Alice Winters,Length: 9 hrs and 49 mins
Passions in Death: An Eve Dallas Novel,J. D. Robb,Length: 13 hrs and 54 mins
Tsalmoth,Steven Brust,Length: 9 hrs and 49 mins
The Way of Kings,Brandon Sanderson,Length: 45 hrs and 30 mins
Magic Rises (Dramatized Adaptation),Ilona Andrews,Length: 11 hrs
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Length: 11 hrs and 49 mins
A Court of Mist and Fury,Sarah J. Maas,Length: 23 hrs and 16 mins
A Court of Wings and Ruin,Sarah J. Maas,Length: 25 hrs and 9 mins
Hostile Takeover,Franklin Horton,Length: 8 hrs and 41 mins
Oathbringer,Brandon Sanderson,Length: 55 hrs and 5 mins
Red Sky Mourning,Jack Carr,Length: 15 hrs and 28 mins
Loud,Drew Afualo,Length: 6 hrs and 33 mins
Words of Radiance,Brandon Sanderson,Length: 48 hrs and 13 mins
The Body Keeps the Score,Bessel A. van der Kolk,Length: 16 hrs and 15 mins
The Ragpicker King,Cassandra Clare,Length: 23 hrs
House of Sky and Breath,Sarah J. Maas,Length: 27 hrs and 42 mins
A Trial of Innocents,Michael Swiger,Length: 7 hrs and 6 mins
Unreasonable Hospitality,Will Guidara,Length: 8 hrs and 37 mins
The Psychology of Money,Morgan Housel,Length: 5 hrs and 55 mins
Rhythm of War,Brandon Sanderson,Length: 57 hrs and 26 mins
Mad Love,Willow Aster,Length: 7 hrs and 53 mins
Wildest Dreams,Kristen Proby,Length: 9 hrs and 13 mins
Skaventide,Gary Kloster,Length: 15 hrs and 1 min
Last Day of the Immortal,Kirill Klevanski,Length: 16 hrs and 6 mins
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Length: 9 hrs and 2 mins
Arkangel,James Rollins,Length: 16 hrs and 46 mins
The Next Mrs. Parrish,Liv Constantine,Length: 10 hrs and 51 mins
Reign of a Billionaire,Eva Winners,Length: 12 hrs and 5 mins
Heir of Fire,Sarah J. Maas,Length: 17 hrs and 56 mins
It Starts with Us,Colleen Hoover,Length: 8 hrs and 41 mins
The Hero of Ages,Brandon Sanderson,Length: 27 hrs and 25 mins
"The Beginner’s Guide to Gut Health: Unlocking Digestive Freedom, Weight Wellness, and Mental Clarity Made Easy",Christina Kiser,Length: 3 hrs and 26 mins
The Forbidden,Sawyer Bennett,Length: 7 hrs and 41 mins
Sasha Urban: The Complete Series,"Dima Zales,Anna Zaires",Length: 60 hrs and 39 mins
How to: $10M,William Brown,Length: 7 hrs and 23 mins
The Woman in Me,Britney Spears,Length: 5 hrs and 31 mins
Children of Dune,Frank Herbert,Length: 16 hrs and 51 mins
This Is Why We Lied,Karin Slaughter,Length: 18 hrs and 6 mins
Empire of Storms,Sarah J. Maas,Length: 25 hrs and 18 mins
Stateside,JD Kirk,Length: 12 hrs and 9 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Length: 21 hrs and 36 mins
Rift in the Soul,Faith Hunter,Length: 15 hrs and 21 mins
"The Marriage Auction 2, Book Four",Audrey Carlan,Length: 9 hrs and 55 mins
Haunting Adeline,H. D. Carlton,Length: 15 hrs and 49 mins
The Dungeon Anarchist's Cookbook,Matt Dinniman,Length: 16 hrs and 54 mins
An Island Princess Starts a Scandal,Adriana Herrera,Length: 12 hrs and 40 mins
The Housemaid Is Watching,Freida McFadden,Length: 11 hrs and 42 mins
Throne of Glass,Sarah J. Maas,Length: 13 hrs and 3 mins
True Believer,Jack Carr,Length: 15 hrs and 44 mins
Swan Song,Elin Hilderbrand,Length: 13 hrs and 39 mins
House of Earth and Blood,Sarah J. Maas,Length: 27 hrs and 50 mins
Dragon Warrior,KrazeKode,Length: 10 hrs and 39 mins
The Final Empire,Brandon Sanderson,Length: 24 hrs and 39 mins
A Court of Silver Flames,Sarah J. Maas,Length: 26 hrs and 5 mins
Dragons of Eternity,"Margaret Weis,Tracy Hickman",Length: 12 hrs and 56 mins
A Game of Thrones,George R.R. Martin,Length: 33 hrs and 46 mins
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Length: 20 hrs and 36 mins
Obsession,Jane Henry,Length: 10 hrs and 22 mins
Siege of Vraks,Steve Lyons,Length: 9 hrs and 48 mins
Master of Puppets,Eric Ugland,Length: 13 hrs and 15 mins
Secrets and Strife: An Isekai LitRPG,SourpatchHero,Length: 16 hrs and 53 mins
The Housemaid,Freida McFadden,Length: 9 hrs and 46 mins
The Three-Body Problem,Cixin Liu,Length: 13 hrs and 26 mins
Tower of Dawn,Sarah J. Maas,Length: 22 hrs and 39 mins
Diving Into Her,Alyson Root,Length: 8 hrs and 57 mins
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,Length: 8 hrs and 18 mins
Queen of Shadows,Sarah J. Maas,Length: 20 hrs and 43 mins
Kingdom of Ash,Sarah J. Maas,Length: 33 hrs and 11 mins
Into the Multiverse,John Corwin,Length: 12 hrs and 38 mins
Break for Me,Ember Nicole,Length: 9 hrs and 46 mins
Becoming Supernatural,Joe Dispenza,Length: 14 hrs and 6 mins
Summer Romance,Annabel Monaghan,Length: 8 hrs and 27 mins
Tress of the Emerald Sea,Brandon Sanderson,Length: 12 hrs and 27 mins
On Call,Anthony Fauci M.D.,Length: 19 hrs and 12 mins
The Crown of Gilded Bones,Jennifer L. Armentrout,Length: 25 hrs and 22 mins
He Who Fights with Monsters 5,"Shirtaloon,Travis Deverell",Length: 20 hrs and 5 mins
Holy Spirit: The Curse Breaker,David Diga Hernandez,Length: 3 hrs and 10 mins
Fair Play,"Tove Jansson,Thomas Teal",Length: 2 hrs and 23 mins
Just for the Summer,Abby Jimenez,Length: 11 hrs and 43 mins
Hercule Poirot: The Complete Short Stories,Agatha Christie,Length: 35 hrs and 5 mins
Famous Last Words,John Carson,Length: 4 hrs and 20 mins
Atomic Habits,James Clear,Length: 5 hrs and 35 mins
Social Skills for Teens Decoded,Yudelkis Murray,Length: 4 hrs and 9 mins
Emperor's End,Kyle Kirrin,Length: 16 hrs and 18 mins
